internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
185461,Ottelia exserta,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,HYDROCHARITACEAE,Ottelia,exserta,,,,,(Ridl.) Dandy,
185470,Riella alatospora,PLANTAE,MARCHANTIOPHYTA,SPHAEROCARPALES,MARCHANTIOPSIDA,RIELLACEAE,Riella,alatospora,,,,,F.H.Wigg.,
185476,Digitaria patagiata,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Digitaria,patagiata,,,,,Henrard,
185478,Oxalis simplex,PLANTAE,TRACHEOPHYTA,OXALIDALES,MAGNOLIOPSIDA,OXALIDACEAE,Oxalis,simplex,,,,,T.M.Salter,
185483,Crassula elatinoides,PLANTAE,TRACHEOPHYTA,SAXIFRAGALES,MAGNOLIOPSIDA,CRASSULACEAE,Crassula,elatinoides,,,,,(Eckl. &amp; Zeyh.) Friedrich,
185494,Cyperus altomicroglumis,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Cyperus,altomicroglumis,,,,,Lye,
185501,Riella echinospora,PLANTAE,MARCHANTIOPHYTA,SPHAEROCARPALES,MARCHANTIOPSIDA,RIELLACEAE,Riella,echinospora,,,,,F.H.Wigg.,
185502,Eleocharis cubangensis,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Eleocharis,cubangensis,,,,,H.E.Hess,Taxonomic status unclear.
185503,Wolffiella repanda,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,ARACEAE,Wolffiella,repanda,,,,,(Hegelm.) Monod,
185507,Ledermanniella musciformis,PLANTAE,TRACHEOPHYTA,PODOSTEMALES,MAGNOLIOPSIDA,PODOSTEMACEAE,Ledermanniella,musciformis,,,,,(G.Taylor) C.Cusset,"Branched caulescent herb ; lower leaves scale-like, minute, needle-like or linear ; upper leaves linear -subulate, sheathing at the base, exstipulate, up to 14 mm long ; spathellae at the end of branches, ovoid, about 2.75 mm long ; pedicel 2 mm becoming up to 8 mm long ; tepals acicular, 0.6 mm longand 0.7 mm broad ; ovary ellipsoid or oboid, 1.75 mm long slightly 8-ribbed ; capsule ellipsoid, 1.75 mm long, valves equal 3-ribbed excepting the thin marginal commissural ribs."
185514,Ottelia brachyphylla,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,HYDROCHARITACEAE,Ottelia,brachyphylla,,,,,(Gürke) Dandy,
185522,Cyperus baoulensis,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Cyperus,baoulensis,,,,,Kük.,
185542,Najas hagerupii,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,HYDROCHARITACEAE,Najas,hagerupii,,,,,Horn,"Submerged grass, with fine and fragile stem fixed at the bottom or floating freely. Leaves are long (one to a few cm), more or less toothed at the edge, grouped by two or three."
185544,Xyris imitatrix,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,XYRIDACEAE,Xyris,imitatrix,,,,,Malme,
185545,Floscopa axillaris,PLANTAE,TRACHEOPHYTA,COMMELINALES,LILIOPSIDA,COMMELINACEAE,Floscopa,axillaris,,,,,(Poir.) C.B.Clarke,"Annual herb, about 3-12 inches high; leaves ovate-lanceolate to lanceolate, up to two inches long, with short sheaths which are non-ciliate on margins; flowers blue or dull purple."
185550,Xyris lejolyanus,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,XYRIDACEAE,Xyris,lejolyanus,,,,,Lisowski,
185551,Hygrophila stagnalis,PLANTAE,TRACHEOPHYTA,SCROPHULARIALES,MAGNOLIOPSIDA,ACANTHACEAE,Hygrophila,stagnalis,,,,,Benoist,"Probably only an ecological form of <span style=""font-style: italic;"">H. laevis</span>, according to Chevalier l.c. (Flora of West Tropical Africa in: Aluka)"
185553,Xyris bampsii,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,XYRIDACEAE,Xyris,bampsii,,,,,Lisowski,
185560,Ledermanniella pygmaea,PLANTAE,TRACHEOPHYTA,PODOSTEMALES,MAGNOLIOPSIDA,PODOSTEMACEAE,Ledermanniella,pygmaea,,,,,(Pellegr.) C.Cusset,
185562,Callitriche bolusii,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,CALLITRICHACEAE,Callitriche,bolusii,,,,,Schönland &amp; Pax ex Marloth,
185564,Hygrophila barbata,PLANTAE,TRACHEOPHYTA,SCROPHULARIALES,MAGNOLIOPSIDA,ACANTHACEAE,Hygrophila,barbata,,,,,(Nees) T.Anderson,"Annual herb in general ramified, sometimes with simple stem from 15 to 40 cm high, with opposed leaves, the limb is elliptic lanceolated or linear from two to five cm. Flowers bluish, linear with capsules long from seven to eight mm."
185568,Pycreus demangei,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Pycreus,demangei,,,,,J.Raynal,"Small plant, 10-30 cm high."
185572,Buchnera bowalensis,PLANTAE,TRACHEOPHYTA,SCROPHULARIALES,MAGNOLIOPSIDA,SCROPHULARIACEAE,Buchnera,bowalensis,,,,,A.Chev.,
185582,Callitriche compressa,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,CALLITRICHACEAE,Callitriche,compressa,,,,,N.E.Br.,
